year,country,vaccine,coverage,oecd_region
2010,Australia,Hepatitis B,91.6,Asia-Pacific
2011,Australia,Hepatitis B,91.6,Asia-Pacific
2012,Australia,Hepatitis B,91.8,Asia-Pacific
2013,Australia,Hepatitis B,91.0,Asia-Pacific
2014,Australia,Hepatitis B,91.2,Asia-Pacific
2015,Australia,Hepatitis B,92.8,Asia-Pacific
2016,Australia,Hepatitis B,94.2,Asia-Pacific
2017,Australia,Hepatitis B,94.7,Asia-Pacific
2018,Australia,Hepatitis B,94.5,Asia-Pacific
2019,Australia,Hepatitis B,94.9,Asia-Pacific
2020,Australia,Hepatitis B,95.3,Asia-Pacific
2021,Australia,Hepatitis B,95.0,Asia-Pacific
2010,Austria,Hepatitis B,86.0,Europe
2011,Austria,Hepatitis B,89.0,Europe
2012,Austria,Hepatitis B,92.0,Europe
2013,Austria,Hepatitis B,95.0,Europe
2014,Austria,Hepatitis B,98.0,Europe
2015,Austria,Hepatitis B,93.0,Europe
2016,Austria,Hepatitis B,87.0,Europe
2017,Austria,Hepatitis B,90.0,Europe
2018,Austria,Hepatitis B,85.0,Europe
2019,Austria,Hepatitis B,85.0,Europe
2020,Austria,Hepatitis B,85.0,Europe
2010,Belgium,Hepatitis B,97.0,Europe
2011,Belgium,Hepatitis B,97.0,Europe
2012,Belgium,Hepatitis B,98.0,Europe
2013,Belgium,Hepatitis B,98.0,Europe
2014,Belgium,Hepatitis B,98.0,Europe
2015,Belgium,Hepatitis B,98.0,Europe
2016,Belgium,Hepatitis B,97.0,Europe
2017,Belgium,Hepatitis B,97.0,Europe
2018,Belgium,Hepatitis B,97.0,Europe
2019,Belgium,Hepatitis B,97.0,Europe
2020,Belgium,Hepatitis B,97.0,Europe
2010,Canada,Hepatitis B,56.0,North America
2011,Canada,Hepatitis B,70.0,North America
2012,Canada,Hepatitis B,70.0,North America
2013,Canada,Hepatitis B,55.0,North America
2014,Canada,Hepatitis B,55.0,North America
2015,Canada,Hepatitis B,69.0,North America
2016,Canada,Hepatitis B,70.0,North America
2017,Canada,Hepatitis B,71.0,North America
2018,Canada,Hepatitis B,71.0,North America
2019,Canada,Hepatitis B,84.0,North America
2020,Canada,Hepatitis B,84.0,North America
2010,Czech Republic,Hepatitis B,99.3,Europe
2011,Czech Republic,Hepatitis B,99.1,Europe
2012,Czech Republic,Hepatitis B,99.3,Europe
2013,Czech Republic,Hepatitis B,99.2,Europe
2014,Czech Republic,Hepatitis B,99.2,Europe
2015,Czech Republic,Hepatitis B,97.2,Europe
2016,Czech Republic,Hepatitis B,95.8,Europe
2017,Czech Republic,Hepatitis B,94.4,Europe
2018,Czech Republic,Hepatitis B,96.0,Europe
2019,Czech Republic,Hepatitis B,96.7,Europe
2020,Czech Republic,Hepatitis B,97.0,Europe
2021,Czech Republic,Hepatitis B,93.7,Europe
2010,France,Hepatitis B,64.0,Europe
2011,France,Hepatitis B,74.0,Europe
2012,France,Hepatitis B,78.0,Europe
2013,France,Hepatitis B,82.0,Europe
2014,France,Hepatitis B,83.0,Europe
2015,France,Hepatitis B,88.0,Europe
2016,France,Hepatitis B,88.1,Europe
2017,France,Hepatitis B,90.0,Europe
2018,France,Hepatitis B,91.3,Europe
2019,France,Hepatitis B,91.0,Europe
2010,Germany,Hepatitis B,90.3,Europe
2011,Germany,Hepatitis B,86.8,Europe
2012,Germany,Hepatitis B,86.2,Europe
2013,Germany,Hepatitis B,86.9,Europe
2014,Germany,Hepatitis B,88.0,Europe
2015,Germany,Hepatitis B,88.3,Europe
2016,Germany,Hepatitis B,87.6,Europe
2017,Germany,Hepatitis B,87.3,Europe
2018,Germany,Hepatitis B,86.9,Europe
2019,Germany,Hepatitis B,87.2,Europe
2020,Germany,Hepatitis B,87.4,Europe
2010,Greece,Hepatitis B,95.0,Europe
2011,Greece,Hepatitis B,95.0,Europe
2012,Greece,Hepatitis B,98.0,Europe
2013,Greece,Hepatitis B,98.0,Europe
2014,Greece,Hepatitis B,96.0,Europe
2015,Greece,Hepatitis B,96.0,Europe
2016,Greece,Hepatitis B,96.0,Europe
2017,Greece,Hepatitis B,96.0,Europe
2018,Greece,Hepatitis B,96.0,Europe
2019,Greece,Hepatitis B,96.0,Europe
2020,Greece,Hepatitis B,96.0,Europe
2010,Ireland,Hepatitis B,94.0,Europe
2011,Ireland,Hepatitis B,95.0,Europe
2012,Ireland,Hepatitis B,95.1,Europe
2013,Ireland,Hepatitis B,95.0,Europe
2014,Ireland,Hepatitis B,95.5,Europe
2015,Ireland,Hepatitis B,95.2,Europe
2016,Ireland,Hepatitis B,95.0,Europe
2017,Ireland,Hepatitis B,94.7,Europe
2018,Ireland,Hepatitis B,94.4,Europe
2019,Ireland,Hepatitis B,93.4,Europe
2020,Ireland,Hepatitis B,94.1,Europe
2021,Ireland,Hepatitis B,93.5,Europe
2010,Italy,Hepatitis B,96.0,Europe
2011,Italy,Hepatitis B,96.0,Europe
2012,Italy,Hepatitis B,96.5,Europe
2013,Italy,Hepatitis B,96.0,Europe
2014,Italy,Hepatitis B,95.0,Europe
2015,Italy,Hepatitis B,93.3,Europe
2016,Italy,Hepatitis B,93.0,Europe
2017,Italy,Hepatitis B,94.2,Europe
2018,Italy,Hepatitis B,94.9,Europe
2019,Italy,Hepatitis B,94.9,Europe
2020,Italy,Hepatitis B,93.7,Europe
2019,Japan,Hepatitis B,99.0,Asia-Pacific
2020,Japan,Hepatitis B,92.3,Asia-Pacific
2010,Korea,Hepatitis B,88.9,Asia-Pacific
2011,Korea,Hepatitis B,91.5,Asia-Pacific
2012,Korea,Hepatitis B,95.9,Asia-Pacific
2013,Korea,Hepatitis B,97.3,Asia-Pacific
2014,Korea,Hepatitis B,98.0,Asia-Pacific
2015,Korea,Hepatitis B,98.3,Asia-Pacific
2016,Korea,Hepatitis B,98.4,Asia-Pacific
2017,Korea,Hepatitis B,97.7,Asia-Pacific
2018,Korea,Hepatitis B,97.7,Asia-Pacific
2019,Korea,Hepatitis B,97.4,Asia-Pacific
2010,Luxembourg,Hepatitis B,94.0,Europe
2011,Luxembourg,Hepatitis B,95.0,Europe
2012,Luxembourg,Hepatitis B,94.0,Europe
2013,Luxembourg,Hepatitis B,94.0,Europe
2014,Luxembourg,Hepatitis B,94.0,Europe
2015,Luxembourg,Hepatitis B,94.0,Europe
2016,Luxembourg,Hepatitis B,94.0,Europe
2017,Luxembourg,Hepatitis B,94.0,Europe
2018,Luxembourg,Hepatitis B,96.0,Europe
2019,Luxembourg,Hepatitis B,96.0,Europe
2020,Luxembourg,Hepatitis B,96.0,Europe
2010,Mexico,Hepatitis B,92.8,Latin America
2011,Mexico,Hepatitis B,97.7,Latin America
2012,Mexico,Hepatitis B,99.0,Latin America
2013,Mexico,Hepatitis B,79.1,Latin America
2014,Mexico,Hepatitis B,84.3,Latin America
2015,Mexico,Hepatitis B,82.5,Latin America
2016,Mexico,Hepatitis B,93.1,Latin America
2017,Mexico,Hepatitis B,58.2,Latin America
2018,Mexico,Hepatitis B,55.0,Latin America
2019,Mexico,Hepatitis B,56.0,Latin America
2020,Mexico,Hepatitis B,91.8,Latin America
2021,Mexico,Hepatitis B,79.8,Latin America
2010,Netherlands,Hepatitis B,19.4,Europe
2011,Netherlands,Hepatitis B,19.5,Europe
2012,Netherlands,Hepatitis B,20.0,Europe
2013,Netherlands,Hepatitis B,51.4,Europe
2014,Netherlands,Hepatitis B,94.5,Europe
2015,Netherlands,Hepatitis B,93.8,Europe
2016,Netherlands,Hepatitis B,93.1,Europe
2017,Netherlands,Hepatitis B,92.2,Europe
2018,Netherlands,Hepatitis B,92.0,Europe
2019,Netherlands,Hepatitis B,92.3,Europe
2020,Netherlands,Hepatitis B,93.0,Europe
2021,Netherlands,Hepatitis B,92.7,Europe
2010,New Zealand,Hepatitis B,93.5,Asia-Pacific
2011,New Zealand,Hepatitis B,94.6,Asia-Pacific
2012,New Zealand,Hepatitis B,93.5,Asia-Pacific
2013,New Zealand,Hepatitis B,93.0,Asia-Pacific
2014,New Zealand,Hepatitis B,92.7,Asia-Pacific
2015,New Zealand,Hepatitis B,92.3,Asia-Pacific
2016,New Zealand,Hepatitis B,92.5,Asia-Pacific
2017,New Zealand,Hepatitis B,93.6,Asia-Pacific
2018,New Zealand,Hepatitis B,92.6,Asia-Pacific
2019,New Zealand,Hepatitis B,91.7,Asia-Pacific
2020,New Zealand,Hepatitis B,92.0,Asia-Pacific
2021,New Zealand,Hepatitis B,89.8,Asia-Pacific
2019,Norway,Hepatitis B,96.0,Europe
2020,Norway,Hepatitis B,96.6,Europe
2021,Norway,Hepatitis B,96.3,Europe
2010,Poland,Hepatitis B,97.8,Europe
2011,Poland,Hepatitis B,98.0,Europe
2012,Poland,Hepatitis B,97.3,Europe
2013,Poland,Hepatitis B,96.4,Europe
2014,Poland,Hepatitis B,96.0,Europe
2015,Poland,Hepatitis B,96.0,Europe
2016,Poland,Hepatitis B,95.0,Europe
2017,Poland,Hepatitis B,92.9,Europe
2018,Poland,Hepatitis B,90.9,Europe
2019,Poland,Hepatitis B,91.0,Europe
2020,Poland,Hepatitis B,90.0,Europe
2010,Portugal,Hepatitis B,97.0,Europe
2011,Portugal,Hepatitis B,97.0,Europe
2012,Portugal,Hepatitis B,98.0,Europe
2013,Portugal,Hepatitis B,98.0,Europe
2014,Portugal,Hepatitis B,98.0,Europe
2015,Portugal,Hepatitis B,98.0,Europe
2016,Portugal,Hepatitis B,98.0,Europe
2017,Portugal,Hepatitis B,98.0,Europe
2018,Portugal,Hepatitis B,98.0,Europe
2019,Portugal,Hepatitis B,98.0,Europe
2020,Portugal,Hepatitis B,99.0,Europe
2010,Slovak Republic,Hepatitis B,99.1,Europe
2011,Slovak Republic,Hepatitis B,99.0,Europe
2012,Slovak Republic,Hepatitis B,98.7,Europe
2013,Slovak Republic,Hepatitis B,97.9,Europe
2014,Slovak Republic,Hepatitis B,96.8,Europe
2015,Slovak Republic,Hepatitis B,96.0,Europe
2016,Slovak Republic,Hepatitis B,96.4,Europe
2017,Slovak Republic,Hepatitis B,96.4,Europe
2018,Slovak Republic,Hepatitis B,96.5,Europe
2019,Slovak Republic,Hepatitis B,96.7,Europe
2020,Slovak Republic,Hepatitis B,97.0,Europe
2021,Slovak Republic,Hepatitis B,97.0,Europe
2010,Spain,Hepatitis B,96.5,Europe
2011,Spain,Hepatitis B,96.6,Europe
2012,Spain,Hepatitis B,96.2,Europe
2013,Spain,Hepatitis B,95.2,Europe
2014,Spain,Hepatitis B,96.2,Europe
2015,Spain,Hepatitis B,96.6,Europe
2016,Spain,Hepatitis B,97.3,Europe
2017,Spain,Hepatitis B,94.5,Europe
2018,Spain,Hepatitis B,93.5,Europe
2019,Spain,Hepatitis B,95.5,Europe
2020,Spain,Hepatitis B,94.7,Europe
2021,Spain,Hepatitis B,90.7,Europe
2011,Sweden,Hepatitis B,29.0,Europe
2012,Sweden,Hepatitis B,30.0,Europe
2013,Sweden,Hepatitis B,35.0,Europe
2014,Sweden,Hepatitis B,42.0,Europe
2015,Sweden,Hepatitis B,53.0,Europe
2016,Sweden,Hepatitis B,67.0,Europe
2017,Sweden,Hepatitis B,76.0,Europe
2018,Sweden,Hepatitis B,92.0,Europe
2019,Sweden,Hepatitis B,97.0,Europe
2020,Sweden,Hepatitis B,97.0,Europe
2017,Switzerland,Hepatitis B,65.2,Europe
2018,Switzerland,Hepatitis B,71.9,Europe
2019,Switzerland,Hepatitis B,68.5,Europe
2020,Switzerland,Hepatitis B,72.1,Europe
2010,Türkiye,Hepatitis B,96.0,Europe/Asia
2011,Türkiye,Hepatitis B,96.0,Europe/Asia
2012,Türkiye,Hepatitis B,97.0,Europe/Asia
2013,Türkiye,Hepatitis B,97.0,Europe/Asia
2014,Türkiye,Hepatitis B,95.0,Europe/Asia
2015,Türkiye,Hepatitis B,97.0,Europe/Asia
2016,Türkiye,Hepatitis B,98.0,Europe/Asia
2017,Türkiye,Hepatitis B,96.0,Europe/Asia
2018,Türkiye,Hepatitis B,98.0,Europe/Asia
2019,Türkiye,Hepatitis B,98.6,Europe/Asia
2020,Türkiye,Hepatitis B,98.5,Europe/Asia
2021,Türkiye,Hepatitis B,95.5,Europe/Asia
2019,United Kingdom,Hepatitis B,93.0,Europe
2020,United Kingdom,Hepatitis B,93.0,Europe
2021,United Kingdom,Hepatitis B,92.6,Europe
2010,United States,Hepatitis B,92.0,North America
2011,United States,Hepatitis B,91.0,North America
2012,United States,Hepatitis B,90.0,North America
2013,United States,Hepatitis B,91.0,North America
2014,United States,Hepatitis B,92.0,North America
2015,United States,Hepatitis B,92.0,North America
2016,United States,Hepatitis B,93.0,North America
2017,United States,Hepatitis B,91.0,North America
2018,United States,Hepatitis B,91.0,North America
2019,United States,Hepatitis B,91.0,North America
